index,Name,Yf Market price,Prediction,Shares
80913,FINGERPRINT CARDS AB,94.41999816894531,0.6898358,2487.245
81153,CAMURUS AB (PUBL),62.25690078735352,0.5625328,3772.203
81005,BOULE DIAGNOSTICS AB,68.0,0.48722413,3453.613
80992,CHRISTIAN BERNER TECH TRADE AB,16.200000762939453,0.48228785,14496.645
80974,STUDSVIK AB,31.0,0.45321083,7575.667
