index,Name,Yf Market price,Prediction,Shares
84431,ELEKTA AB (PUBL),50.5,0.5208703,396.04
84599,WISE GROUP AB,10.0,0.44465575,2000.0
84596,COREM PROPERTY GROUP AB,3.1822800636291504,0.43110365,6284.802
84803,WESC AB,51.36000061035156,0.34191936,389.408
84666,ARISE AB,54.0,0.33156762,370.37
