index,Name,Yf Market price,Prediction,Shares
83360,VITROLIFE AB,6.603109836578369,1.0003082,4619.547
83324,SEMCON AB,38.0,0.6336986,802.72
83401,BIOGAIA AB,180.9720001220703,0.6259419,168.553
83615,IMPACT COATINGS AB,7.811240196228027,0.52017397,3905.062
83540,SINTERCAST AB,57.5,0.48758653,530.493
