,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2010-11-06,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2010-11-07,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2010-11-08,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2010-11-09,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2010-11-10,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2010-11-11,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2010-11-12,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2010-11-13,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2010-11-14,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2010-11-15,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2010-11-16,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2010-11-17,100000.0,100000.0,99820.34,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99820.34,100000.0,100000.0
2010-11-18,100000.0,100000.0,99937.81,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99937.81,100000.0,100000.0
2010-11-19,100000.0,100000.0,100055.28,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100055.28,100000.0,100000.0
2010-11-20,100000.0,100000.0,100055.28,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100055.28,100000.0,100000.0
2010-11-21,100000.0,100000.0,100055.28,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100055.28,100000.0,100000.0
2010-11-22,100000.0,100000.0,99875.62,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99875.62,100000.0,100000.0
2010-11-23,100000.0,100000.0,99820.34,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99820.34,100000.0,100000.0
2010-11-24,100000.0,100000.0,99875.62,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99875.62,100000.0,100000.0
2010-11-25,100000.0,100000.0,99820.34,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99820.34,100000.0,100000.0
2010-11-26,100000.0,100000.0,99516.3,100000.0,100000.0,100000.0,100000.0,100000.0,99889.6,100000.0,100000.0,99889.6,99405.9,99861.9,100000.0
2010-11-27,100000.0,100000.0,99516.3,100000.0,100000.0,100000.0,100000.0,100000.0,99889.6,100000.0,100000.0,99889.6,99405.9,99861.9,100000.0
2010-11-28,100000.0,100000.0,99516.3,100000.0,100000.0,100000.0,100000.0,100000.0,99889.6,100000.0,100000.0,99889.6,99405.9,99861.9,100000.0
2010-11-29,100000.0,100000.0,99820.34,100000.0,100000.0,99893.14000000001,100000.0,100000.0,99889.6,100000.0,100000.0,99889.6,99709.94,99861.9,100000.0
2010-11-30,100000.0,100000.0,100000.0,100000.0,100000.0,100104.12000000001,100000.0,100000.0,99889.6,100000.0,100000.0,99889.6,99889.6,99861.9,100000.0
2010-12-01,100000.0,100000.0,99937.81,100000.0,100000.0,101178.20000000001,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,99937.81,100000.0,100000.0
2010-12-02,100000.0,100000.0,100055.28,100000.0,100000.0,101578.24,100000.0,100000.0,99889.6,100000.0,100000.0,99889.6,99944.88,99861.9,100000.0
2010-12-03,100000.0,100000.0,100359.32,100000.0,100000.0,101789.22,100000.0,100000.0,100220.8,100000.0,100000.0,100220.8,100580.12,100276.2,100000.0
2010-12-04,100000.0,100000.0,100359.32,100000.0,100000.0,101789.22,100000.0,100000.0,100220.8,100000.0,100000.0,100220.8,100580.12,100276.2,100000.0
2010-12-05,100000.0,100000.0,100359.32,100000.0,100000.0,101789.22,100000.0,100000.0,100220.8,100000.0,100000.0,100220.8,100580.12,100276.2,100000.0
2010-12-06,100000.0,100000.0,100241.85,100000.0,100000.0,101745.38,100000.0,100000.0,100331.20000000001,99847.68,99809.6,100331.20000000001,100573.04999999999,100414.29999999999,100000.0
2010-12-07,100000.0,100000.0,100241.85,100000.0,100000.0,101874.16,100000.0,100000.0,100220.8,99462.8,99328.5,100220.8,100462.65,100276.2,100000.0
2010-12-08,100000.0,100000.0,100241.85,100000.0,100000.0,101808.40000000001,100000.0,100000.0,100220.8,99239.76000000001,99049.70000000001,100220.8,100462.65,100276.2,100000.0
2010-12-09,100000.0,100000.0,100241.85,100000.0,100000.0,101008.32,99466.45999999999,100000.0,100220.8,98875.28,98594.1,100220.8,100462.65,100276.2,100000.0
2010-12-10,100000.0,100000.0,100179.66,100000.0,100000.0,101474.12000000001,99574.60999999999,100000.0,99889.6,99087.44,98859.3,99889.6,100069.26000000001,99861.9,100000.0
2010-12-11,100000.0,100000.0,100179.66,100000.0,100000.0,101474.12000000001,99574.60999999999,100000.0,99889.6,99087.44,98859.3,99889.6,100069.26000000001,99861.9,100000.0
2010-12-12,100000.0,100000.0,100179.66,100000.0,100000.0,101474.12000000001,99574.60999999999,100000.0,99889.6,99087.44,98859.3,99889.6,100069.26000000001,99861.9,100000.0
2010-12-13,100000.0,100000.0,100359.32,100000.0,100000.0,101830.32,101341.06,100000.0,99779.20000000001,99594.72,99493.40000000001,99779.20000000001,100138.51999999999,99723.79999999999,100000.0
2010-12-14,100000.0,100000.0,100117.47,100000.0,100000.0,102167.34000000001,101124.75999999998,100000.0,99889.6,99422.0,99277.5,99889.6,100007.07,99861.9,100000.0
2010-12-15,100000.0,100000.0,100055.28,100000.0,100000.0,102230.36,102090.9,100000.0,100110.40000000001,99513.12,99391.40000000001,100110.40000000001,100165.68,100138.09999999999,100000.0
2010-12-16,99626.3,100000.0,100241.85,100000.0,100000.0,101915.26000000001,101283.37999999999,100000.0,100110.40000000001,99351.28,99189.1,100110.40000000001,100352.25,100138.09999999999,100000.0
2010-12-17,100373.70000000001,100000.0,100476.79,100000.0,100000.0,102252.28000000001,101449.20999999999,99785.92,100000.0,99330.88,99163.6,100000.0,100476.79000000001,100000.0,100000.0
2010-12-18,100373.70000000001,100000.0,100476.79,100000.0,100000.0,102252.28000000001,101449.20999999999,99785.92,100000.0,99330.88,99163.6,100000.0,100476.79000000001,100000.0,100000.0
2010-12-19,100373.70000000001,100000.0,100476.79,100000.0,100000.0,102252.28000000001,101449.20999999999,99785.92,100000.0,99330.88,99163.6,100000.0,100476.79000000001,100000.0,100000.0
2010-12-20,100797.90000000001,101836.72,101828.65999999999,100000.0,100000.0,102378.32,100749.84,100198.47,100331.20000000001,99382.56,99228.20000000001,101800.54,100690.51999999999,100414.29999999999,100000.0
2010-12-21,101075.65000000001,101224.48,102057.51999999999,100000.0,100000.0,103030.44,101016.60999999999,100497.29000000001,100000.0,99787.84,99734.8,100979.56,101077.95999999999,100000.0,100000.0
2010-12-22,101126.15000000001,100612.23999999999,102231.09999999999,100000.0,100000.0,103030.44,101341.06,100481.68000000001,99889.6,99717.12,99646.40000000001,100379.38,101630.92,99861.9,100000.0
2010-12-23,101499.85,100918.36,102842.22,100000.0,100000.0,102841.38,102227.88999999998,100546.35,99889.6,99747.04000000001,99683.8,100884.18000000001,101997.15,99861.9,100000.0
2010-12-24,101499.85,100918.36,102842.22,100000.0,100000.0,102841.38,102227.88999999998,100546.35,99889.6,99747.04000000001,99683.8,100884.18000000001,101997.15,99861.9,100000.0
2010-12-25,101499.85,100918.36,102842.22,100000.0,100000.0,102841.38,102227.88999999998,100546.35,99889.6,99747.04000000001,99683.8,100884.18000000001,101997.15,99861.9,100000.0
2010-12-26,101499.85,100918.36,102842.22,100000.0,100000.0,102841.38,102227.88999999998,100546.35,99889.6,99747.04000000001,99683.8,100884.18000000001,101997.15,99861.9,100000.0
