Date,ticker,Close,signal,nr_active_trades
2012-06-05,CEVI,14.04,-1.0,1.0
2012-06-05,CTT,33.03,-1.0,2.0
2012-06-11,EKTA-B,70.16,-1.0,1.0
2012-06-26,AAK,22.89,1.0,1.0
2012-07-16,BURE,21.29,1.0,2.0
2012-07-23,OPUS,1.49,1.0,4.0
2012-07-25,BURE,19.59,-1.0,2.0
2012-07-25,NET-B,7.44,1.0,4.0
2012-07-27,OPUS,1.37,-1.0,4.0
2012-07-30,OPUS,1.4,1.0,4.0
2012-07-31,ORTI-B,4.04,1.0,5.0
2012-08-03,ORTI-B,3.54,-1.0,5.0
2012-08-06,ORTI-B,3.75,1.0,5.0
2012-08-21,ORTI-B,3.67,-1.0,5.0
2012-09-04,DEDI,24.43,1.0,2.0
2012-09-13,IAR-B,31.25,-1.0,3.0
2012-09-20,ORX,54.5,1.0,5.0
2012-09-21,ADDT-B,43.71,1.0,2.0
2012-09-24,DEDI,23.39,-1.0,3.0
2012-09-24,ORX,50.0,-1.0,6.0
2012-09-27,NET-B,6.86,-1.0,3.0
2012-10-08,CTT,38.62,1.0,3.0
2012-10-09,MOB,41.5,1.0,4.0
2012-10-09,OPUS,1.98,-1.0,5.0
2012-10-11,AROC,6.01,1.0,3.0
2012-10-15,AROC,5.68,-1.0,3.0
2012-10-16,AROC,5.3,1.0,3.0
2012-10-16,DIST,8.25,1.0,5.0
2012-10-16,EKTA-B,85.88,1.0,6.0
2012-10-26,AROC,5.4,-1.0,3.0
2012-11-01,ADDT-B,40.23,-1.0,2.0
2012-11-14,MOB,40.2,-1.0,5.0
2012-11-29,BILL,44.82,1.0,2.0
2012-12-06,FING-B,1.72,1.0,6.0
2012-12-11,ASSA-B,64.23,1.0,2.0
2012-12-12,CTT,36.11,-1.0,4.0
2012-12-18,CLS-B,12.74,1.0,4.0
2012-12-19,BRE2,0.23,1.0,4.0
2012-12-27,FING-B,2.41,-1.0,8.0
2013-01-03,ENZY,11.87,1.0,8.0
2013-01-11,SAS,9.9,1.0,9.0
2013-01-14,BRE2,0.27,-1.0,4.0
2013-01-25,CLS-B,21.08,-1.0,4.0
2013-01-29,SAS,13.95,-1.0,7.0
2013-01-31,ELEC,24.2,1.0,6.0
2013-02-04,LAGR-B,66.88,1.0,8.0
2013-02-05,ANOD-B,31.4,1.0,2.0
2013-02-05,BALD-B,39.63,1.0,4.0
2013-02-05,LATO-B,95.33,1.0,11.0
2013-02-11,CCC,25.57,1.0,6.0
2013-02-12,BILL,52.25,-1.0,5.0
2013-02-14,ENZY,27.37,-1.0,9.0
2013-02-22,CATE,66.16,1.0,5.0
2013-02-27,FING-B,5.11,1.0,10.0
2013-03-07,EKTA-B,85.33,-1.0,8.0
2013-03-11,KLED,31.54,1.0,10.0
2013-03-12,LATO-B,99.61,-1.0,12.0
2013-03-13,KLED,31.03,-1.0,10.0
2013-03-13,LAGR-B,75.24,-1.0,11.0
2013-03-25,KDEV,27.3,1.0,10.0
2013-04-02,CONS-B,17.15,1.0,7.0
2013-04-08,FING-B,5.81,-1.0,10.0
2013-04-09,BOTX,4.59,1.0,5.0
2013-04-10,AXFO,40.09,1.0,4.0
2013-04-10,KDEV,26.0,-1.0,12.0
2013-04-11,CLA-B,16.26,1.0,9.0
2013-04-12,BOTX,4.2,-1.0,6.0
2013-04-18,ANOD-B,30.64,-1.0,2.0
2013-04-18,GHP,5.0,1.0,12.0
2013-05-02,ZETA,5.64,1.0,12.0
2013-05-03,CONS-B,15.5,-1.0,8.0
2013-05-08,CCC,25.71,-1.0,6.0
2013-05-08,EPIS-B,29.0,1.0,10.0
2013-05-08,GHP,5.28,-1.0,11.0
2013-05-14,ZETA,5.36,-1.0,10.0
2013-05-15,ELEC,30.7,-1.0,8.0
2013-05-16,SEMC,51.46,1.0,9.0
2013-05-21,AQ,49.46,1.0,2.0
2013-05-21,SCA-B,20.95,1.0,10.0
2013-05-24,CLA-B,16.35,-1.0,7.0
2013-05-24,PREC,2.13,1.0,10.0
2013-05-28,EPIS-B,25.31,-1.0,8.0
2013-05-30,PREC,2.03,-1.0,8.0
2013-05-31,HLDX,46.6,1.0,8.0
2013-05-31,PREC,1.99,1.0,9.0
2013-06-21,SCA-B,19.37,-1.0,10.0
2013-07-02,SEZI,9.22,1.0,11.0
2013-07-03,MISE,14.5,1.0,9.0
2013-07-03,PREC,2.71,-1.0,10.0
2013-07-03,SEZI,8.57,-1.0,12.0
2013-07-10,SEZI,9.86,1.0,11.0
2013-07-12,SEZI,8.27,-1.0,11.0
2013-07-18,SEMC,55.0,-1.0,10.0
2013-07-19,HPOL-B,31.68,1.0,9.0
2013-07-19,NOLA-B,101.17,1.0,11.0
2013-07-22,ICTA,13.97,1.0,10.0
2013-07-23,DIST,12.84,-1.0,7.0
2013-07-29,MISE,17.9,-1.0,10.0
2013-07-30,MISE,17.1,1.0,10.0
2013-08-07,NOLA-B,95.61,-1.0,11.0
2013-08-13,ORTI-B,6.46,1.0,11.0
2013-08-21,AF-B,70.33,1.0,2.0
2013-08-26,ORTI-B,5.46,-1.0,12.0
2013-08-28,ICTA,13.01,-1.0,10.0
2013-08-29,HLDX,53.0,-1.0,8.0
2013-09-02,MISE,19.7,-1.0,9.0
2013-09-05,ADDT-B,70.17,1.0,2.0
2013-09-13,BULTEN,38.84,1.0,8.0
2013-09-16,HMS,24.98,1.0,10.0
2013-09-30,CCOR-B,10.89,1.0,10.0
2013-10-03,BULTEN,36.4,-1.0,8.0
2013-10-04,KDEV,30.9,1.0,12.0
2013-10-10,HPOL-B,30.62,-1.0,11.0
2013-10-14,CLS-B,15.2,1.0,10.0
2013-10-25,KDEV,31.8,-1.0,12.0
2013-11-04,GENO,3.8,1.0,11.0
2013-11-07,CLS-B,17.5,-1.0,10.0
2013-11-11,GENO,3.51,-1.0,10.0
2013-11-15,HMS,25.99,-1.0,10.0
2013-11-19,CAT-B,6.03,1.0,8.0
2013-11-19,ENRO,601.51,1.0,11.0
2013-11-21,CCOR-B,11.22,-1.0,10.0
2013-11-21,ELN,1.03,1.0,11.0
2013-11-25,ELN,0.97,-1.0,10.0
2013-12-11,SINT,69.46,1.0,11.0
2013-12-13,SINT,65.6,-1.0,11.0
2014-01-14,CLAS-B,95.82,1.0,10.0
2014-01-14,HTRO,12.16,1.0,12.0
2014-01-23,HTRO,10.8,-1.0,12.0
2014-01-24,ENRO,847.78,-1.0,11.0
2014-01-27,ORTI-B,5.96,1.0,11.0
2014-01-28,ADDT-B,83.77,-1.0,2.0
2014-01-28,CLAS-B,88.53,-1.0,10.0
2014-02-03,AF-B,77.16,-1.0,2.0
2014-02-17,BRG-B,2.8,1.0,6.0
2014-02-17,ORTI-B,4.96,-1.0,9.0
2014-02-18,KAN,2.82,1.0,9.0
2014-02-19,NETI-B,1.63,1.0,10.0
2014-02-20,AAP-B,23.49,1.0,2.0
2014-02-20,AZA,20.91,1.0,6.0
2014-02-21,KAN,3.04,-1.0,11.0
2014-02-24,CAT-B,5.46,-1.0,9.0
2014-02-25,AAP-B,20.62,-1.0,2.0
2014-02-28,ORES,54.09,1.0,10.0
2014-03-04,BRG-B,2.76,-1.0,7.0
2014-03-04,JLT,1.73,1.0,9.0
2014-03-06,ENRO,1154.37,1.0,8.0
2014-03-14,ENRO,1043.8,-1.0,8.0
2014-03-14,EOLU-B,25.29,1.0,9.0
2014-03-17,JLT,1.68,-1.0,9.0
2014-03-19,ICTA,18.61,1.0,9.0
2014-03-31,EOLU-B,24.12,-1.0,8.0
2014-04-02,STIL,11.97,1.0,11.0
2014-04-07,OEM-B,93.47,1.0,10.0
2014-04-16,BALD-B,81.0,-1.0,6.0
2014-04-17,XANO-B,22.97,1.0,12.0
2014-04-25,NETI-B,1.79,-1.0,8.0
2014-04-29,ORES,59.96,-1.0,9.0
2014-05-09,OEM-B,88.87,-1.0,8.0
2014-05-09,XANO-B,27.85,-1.0,10.0
2014-05-12,ICTA,17.15,-1.0,7.0
2014-05-15,BILL,82.16,1.0,6.0
2014-05-16,BULTEN,65.09,1.0,7.0
2014-05-22,ALM,96.28,1.0,2.0
2014-05-27,BEIJ-B,107.64,1.0,7.0
2014-06-03,ATRE,16.04,1.0,5.0
2014-06-03,STIL,11.68,-1.0,12.0
2014-06-04,ALLG-B,15.16,1.0,2.0
2014-06-11,ALM,86.22,-1.0,3.0
2014-06-17,ALLG-B,11.79,-1.0,2.0
2014-06-18,BULTEN,63.0,-1.0,9.0
2014-06-18,CAT-B,7.7,1.0,10.0
2014-06-19,CATE,88.42,-1.0,10.0
2014-06-24,ATRE,15.0,-1.0,4.0
2014-06-25,ATRLJ-B,91.46,1.0,4.0
2014-07-01,MVIR-B,139.0,1.0,10.0
2014-07-10,AVEN,3.67,1.0,5.0
2014-07-11,NNH,15.93,1.0,12.0
2014-07-15,AZA,24.54,-1.0,7.0
2014-07-17,MVIR-B,129.75,-1.0,10.0
2014-07-17,VSSAB-B,217.66,1.0,12.0
2014-07-22,BALD-B,93.75,1.0,7.0
2014-07-23,AQ,79.91,-1.0,2.0
2014-07-28,AAK,47.43,-1.0,1.0
2014-07-31,AAP-B,19.66,1.0,1.0
2014-07-31,AVEN,5.17,-1.0,4.0
2014-08-04,BERG-B,83.47,1.0,7.0
2014-08-05,IVSO,12.17,1.0,10.0
2014-08-07,NNH,20.15,-1.0,11.0
2014-08-12,NVP,63.15,1.0,11.0
2014-08-13,BALD-B,83.0,-1.0,5.0
2014-08-21,VSSAB-B,217.66,-1.0,11.0
2014-08-25,NVP,58.49,-1.0,10.0
2014-08-29,BEIJ-B,100.19,-1.0,5.0
2014-09-05,BERG-B,75.43,-1.0,5.0
2014-09-09,FAG,33.42,1.0,7.0
2014-09-09,NETI-B,2.79,1.0,9.0
2014-09-11,CAT-B,8.27,-1.0,6.0
2014-09-12,AAP-B,31.55,-1.0,1.0
2014-09-16,ALM,121.19,1.0,1.0
2014-09-16,NET-B,24.19,1.0,8.0
2014-09-19,FAG,31.87,-1.0,6.0
2014-09-24,XVIVO,47.5,1.0,9.0
2014-10-02,IVSO,14.02,-1.0,6.0
2014-10-09,BILL,81.69,-1.0,5.0
2014-10-09,NETI-B,2.65,-1.0,7.0
2014-10-09,XVIVO,41.7,-1.0,8.0
2014-10-13,ALM,117.83,-1.0,1.0
2014-10-13,NET-B,22.34,-1.0,5.0
2014-10-16,ATRLJ-B,81.23,-1.0,2.0
2014-11-13,MULQ,1.03,1.0,3.0
2014-11-14,DEDI,20.67,1.0,3.0
2014-11-18,CONS-B,61.3,1.0,3.0
2014-11-20,CEVI,32.1,1.0,3.0
2014-11-21,CONS-B,58.47,-1.0,4.0
2014-12-01,MULQ,0.92,-1.0,5.0
2014-12-04,VITR,26.51,1.0,5.0
2014-12-29,PLED,25.5,1.0,5.0
2014-12-30,DEDI,19.27,-1.0,4.0
2015-01-09,BALD-B,115.6,1.0,3.0
2015-01-15,AAP-B,41.48,1.0,1.0
2015-01-26,IAR-B,71.78,1.0,6.0
2015-01-28,AAP-B,39.61,-1.0,1.0
2015-01-28,DIST,25.72,1.0,6.0
2015-01-30,PLED,25.0,-1.0,7.0
2015-02-02,CONS-B,57.76,1.0,5.0
2015-02-05,IMPC,9.89,1.0,8.0
2015-02-09,BIOT,12.67,1.0,4.0
2015-02-12,ATRLJ-B,114.87,1.0,2.0
2015-02-12,IMPC,9.13,-1.0,10.0
2015-02-13,KAN,6.42,1.0,10.0
2015-02-17,CAST,95.31,1.0,6.0
2015-02-17,VITR,28.16,-1.0,12.0
2015-02-19,ATCO-B,154.3,1.0,2.0
2015-02-20,CONS-B,53.99,-1.0,9.0
2015-02-26,KAN,5.8,-1.0,11.0
2015-03-02,BILL,113.66,1.0,6.0
2015-03-03,COIC,99.19,1.0,10.0
2015-03-05,IAR-B,89.83,-1.0,12.0
2015-03-06,ANOT,15.15,1.0,1.0
2015-03-06,CEVI,44.66,-1.0,10.0
2015-03-10,DIST,24.9,-1.0,11.0
2015-03-11,ATRLJ-B,105.02,-1.0,4.0
2015-03-11,BALD-B,134.3,-1.0,6.0
2015-03-11,CAST,89.91,-1.0,9.0
2015-03-11,COIC,97.17,-1.0,10.0
2015-03-18,ANOT,14.01,-1.0,1.0
2015-03-18,SANION,15.27,1.0,7.0
2015-03-24,BTS-B,64.01,1.0,6.0
2015-03-27,BOL,145.8,1.0,6.0
2015-03-27,MOB,50.25,1.0,8.0
2015-03-30,AQ,108.07,1.0,1.0
2015-04-01,SANION,16.05,-1.0,10.0
2015-04-16,BOUL,20.51,1.0,8.0
2015-04-17,BULTEN,82.82,1.0,10.0
2015-04-21,BALD-B,157.3,1.0,5.0
2015-04-22,MOB,47.1,-1.0,12.0
2015-04-28,BIOG-B,205.59,1.0,7.0
2015-04-30,ASSA-B,145.14,-1.0,2.0
2015-04-30,ATCO-B,146.35,-1.0,3.0
2015-05-04,DIGN,8.51,1.0,11.0
2015-05-06,BOL,148.97,-1.0,7.0
2015-05-07,BALD-B,138.2,-1.0,3.0
2015-05-08,ME,4.42,1.0,10.0
2015-05-12,BULTEN,75.54,-1.0,8.0
2015-05-20,MSAB-B,48.51,1.0,10.0
2015-05-25,ALM,165.73,1.0,1.0
2015-05-28,AAK,71.18,1.0,1.0
2015-05-28,DIGN,8.84,-1.0,10.0
2015-06-01,CCOR-B,16.83,1.0,10.0
2015-06-02,ALM,157.11,-1.0,2.0
2015-06-02,AQ,108.35,-1.0,3.0
2015-06-03,FAG,40.35,1.0,9.0
2015-06-04,NLAB,3.72,1.0,12.0
2015-06-08,BIOG-B,233.28,-1.0,4.0
2015-06-09,BILL,119.35,-1.0,3.0
2015-06-09,BTS-B,60.39,-1.0,6.0
2015-06-16,NLAB,3.59,-1.0,9.0
2015-06-22,AAK,66.77,-1.0,1.0
2015-06-22,BOUL,20.33,-1.0,4.0
2015-06-30,FAG,34.93,-1.0,4.0
2015-07-07,IVSO,26.0,1.0,4.0
2015-07-20,MSAB-B,53.46,-1.0,6.0
2015-07-27,BIOG-B,252.68,1.0,2.0
2015-07-28,DIGN,14.49,1.0,5.0
2015-07-30,AROC,9.28,1.0,1.0
2015-07-30,BMAX,68.77,1.0,5.0
2015-07-30,CI-B,2.97,1.0,7.0
2015-08-05,BIOG-B,239.6,-1.0,3.0
2015-08-05,FING-B,39.44,1.0,9.0
2015-08-05,KARO,24.44,1.0,11.0
2015-08-17,MANG,360.41,1.0,11.0
2015-08-18,CI-B,3.09,-1.0,6.0
2015-08-18,FING-B,46.33,-1.0,8.0
2015-08-19,MOMENT,26.59,1.0,11.0
2015-08-20,AROC,13.1,-1.0,1.0
2015-08-20,CCOR-B,17.76,-1.0,5.0
2015-08-20,HEMF,39.87,1.0,7.0
2015-08-20,KARO,24.0,-1.0,9.0
2015-08-21,DIGN,13.12,-1.0,4.0
2015-08-24,IVSO,35.25,-1.0,5.0
2015-08-24,MOMENT,23.84,-1.0,8.0
2015-08-25,AXFO,117.56,-1.0,1.0
2015-08-25,BMAX,63.48,-1.0,3.0
2015-08-25,HEMF,38.22,-1.0,4.0
2015-08-26,BIOT,15.73,-1.0,1.0
2015-09-17,NETG,1.71,1.0,3.0
2015-09-17,SENS,3.31,1.0,4.0
2015-09-21,AROC,15.64,1.0,1.0
2015-09-22,BOTX,4.66,1.0,2.0
2015-09-29,ME,4.42,-1.0,4.0
2015-09-30,BOTX,4.47,-1.0,2.0
2015-10-05,MANG,330.54,-1.0,2.0
2015-10-05,NETG,3.14,-1.0,3.0
2015-10-08,FING-B,55.67,1.0,2.0
2015-10-13,AROC,14.66,-1.0,1.0
2015-10-14,FIRE,26.64,1.0,2.0
2015-10-20,NET-B,72.42,1.0,3.0
2015-10-28,IVSO,58.68,1.0,3.0
2015-10-29,FING-B,66.42,-1.0,1.0
2015-11-02,BALD-B,175.0,1.0,1.0
2015-11-02,NETG,3.09,1.0,5.0
2015-11-09,IVSO,56.0,-1.0,3.0
2015-11-09,SENS,4.96,-1.0,6.0
2015-11-10,ITAB-B,75.96,1.0,3.0
2015-11-12,CLAV,49.6,1.0,2.0
2015-11-16,TOURN,8.6,1.0,7.0
2015-11-18,SAAB-B,227.04,1.0,7.0
2015-11-18,TOURN,8.2,-1.0,8.0
2015-11-20,AAK,84.27,1.0,1.0
2015-11-24,CBTT-B,13.36,1.0,3.0
2015-11-24,NEXAM,11.15,1.0,9.0
2015-11-25,NETG,3.35,-1.0,8.0
2015-11-30,NMAN,69.02,1.0,9.0
2015-11-30,OP,21.5,1.0,10.0
2015-12-10,BEIJ-B,167.95,1.0,3.0
2015-12-15,CLAV,61.0,-1.0,5.0
2015-12-15,OP,17.61,-1.0,11.0
2015-12-16,ITAB-B,81.03,-1.0,6.0
2015-12-18,NOLA-B,236.31,1.0,9.0
2015-12-23,GABA,53.53,1.0,6.0
2015-12-23,NET-B,68.83,-1.0,7.0
2016-01-05,IRIS,9.66,1.0,7.0
2016-01-07,NOLA-B,209.95,-1.0,10.0
2016-01-08,IRIS,9.42,-1.0,7.0
2016-01-08,NMAN,65.74,-1.0,9.0
2016-01-11,AAK,76.82,-1.0,1.0
2016-01-12,BEIJ-B,152.72,-1.0,2.0
2016-01-13,IRIS,9.61,1.0,5.0
2016-01-13,NEXAM,12.55,-1.0,6.0
2016-01-14,FIRE,35.32,-1.0,3.0
2016-01-14,SBOK,13.76,1.0,7.0
2016-01-15,BALD-B,183.1,-1.0,1.0
2016-01-18,CBTT-B,12.64,-1.0,1.0
2016-01-18,GABA,55.61,-1.0,2.0
2016-01-18,SAAB-B,210.0,-1.0,4.0
2016-01-26,GHUS-B,2.81,1.0,1.0
2016-02-03,BACTI-B,16.1,1.0,1.0
2016-02-05,GABA,59.77,1.0,2.0
2016-02-08,BACTI-B,13.8,-1.0,1.0
2016-02-09,BACTI-B,13.25,1.0,1.0
2016-02-09,GABA,53.15,-1.0,2.0
2016-02-10,GABA,53.72,1.0,2.0
2016-02-10,IRIS,8.48,-1.0,4.0
2016-02-12,BACTI-B,13.3,-1.0,1.0
2016-02-15,HTRO,17.51,1.0,3.0
2016-02-29,ENDO,15.03,1.0,1.0
2016-03-01,ELAN-B,60.56,1.0,1.0
2016-03-04,KAMBI,144.0,1.0,6.0
2016-03-07,DIGN,14.29,1.0,1.0
2016-03-09,SBOK,13.76,-1.0,8.0
2016-03-15,ENDO,15.09,-1.0,3.0
2016-03-17,DIGN,12.99,-1.0,1.0
2016-03-17,ENDO,16.01,1.0,3.0
2016-03-17,EWRK,65.55,1.0,4.0
2016-03-17,GABA,51.07,-1.0,5.0
2016-03-21,KAMBI,129.5,-1.0,6.0
2016-03-21,UTG,24.63,1.0,7.0
2016-03-24,ENDO,13.8,-1.0,2.0
2016-03-29,UTG,25.14,-1.0,5.0
2016-04-05,BESQ,174.49,1.0,1.0
2016-04-06,DORO,72.29,1.0,2.0
2016-04-07,KNOW,56.9,1.0,7.0
2016-04-12,BRE2,0.69,1.0,2.0
2016-04-22,AQ,155.54,1.0,1.0
2016-04-22,FING-B,96.43,1.0,7.0
2016-04-25,EOS,5.15,1.0,6.0
2016-04-25,FING-B,97.18,-1.0,8.0
2016-04-27,IAR-B,162.85,1.0,10.0
2016-04-28,HTRO,19.76,-1.0,9.0
2016-04-28,LATO-B,70.93,1.0,12.0
2016-04-29,EWRK,64.39,-1.0,7.0
2016-05-03,ELAN-B,54.76,-1.0,5.0
2016-05-04,DORO,67.37,-1.0,4.0
2016-05-04,HEXA-B,301.67,1.0,7.0
2016-05-10,KNOW,52.24,-1.0,8.0
2016-05-10,LUPE,130.21,1.0,10.0
2016-05-13,BRE2,0.69,-1.0,3.0
2016-05-16,GHUS-B,3.48,-1.0,4.0
2016-05-17,BERG-B,99.57,1.0,2.0
2016-05-19,EAST,64.25,1.0,4.0
2016-05-31,MAG,85.29,1.0,10.0
2016-06-02,CE,0.38,1.0,4.0
2016-06-03,AQ,139.99,-1.0,1.0
2016-06-08,BESQ,168.8,-1.0,2.0
2016-06-09,BURE,75.3,1.0,2.0
2016-06-09,IRIS,11.25,1.0,8.0
2016-06-13,IAR-B,145.95,-1.0,7.0
2016-06-13,LAGR-B,71.4,1.0,9.0
2016-06-13,LATO-B,66.9,-1.0,10.0
2016-06-14,CE,0.65,-1.0,3.0
2016-06-14,DDM,32.19,1.0,4.0
2016-06-14,IRIS,10.59,-1.0,8.0
2016-06-15,BURE,66.91,-1.0,2.0
2016-06-15,LAGR-B,68.04,-1.0,7.0
2016-06-15,MAG,80.1,-1.0,9.0
2016-06-20,EAST,58.0,-1.0,3.0
2016-06-28,HEXA-B,294.74,-1.0,4.0
2016-06-28,LUPE,128.41,-1.0,5.0
2016-06-29,BERG-B,95.56,-1.0,1.0
2016-07-06,DDM,27.63,-1.0,1.0
2016-07-21,CE,0.77,1.0,1.0
2016-07-21,SERT,4.44,1.0,3.0
2016-07-25,BOL,163.01,1.0,1.0
2016-07-25,LIFCO-B,257.93,1.0,4.0
2016-07-27,SERT,4.25,-1.0,5.0
2016-07-28,BIM,9.25,1.0,1.0
2016-07-28,BIOT,32.39,1.0,2.0
2016-08-02,BURE,84.65,1.0,4.0
2016-08-03,ACTI,10.42,1.0,1.0
2016-08-03,BOUL,25.76,1.0,5.0
2016-08-03,CAST,110.62,1.0,7.0
2016-08-04,CE,0.67,-1.0,8.0
2016-08-05,ACTI,9.76,-1.0,1.0
2016-08-12,BIM,8.9,-1.0,1.0
2016-08-12,GHP,10.23,1.0,8.0
2016-08-16,AMAST,3.83,1.0,1.0
2016-08-23,LIFCO-B,234.89,-1.0,9.0
2016-08-24,AQ,185.24,1.0,2.0
2016-08-24,BRE2,0.77,1.0,6.0
2016-08-25,HANZA,13.19,1.0,11.0
2016-08-26,BESQ,211.47,1.0,3.0
2016-08-30,GHP,10.51,-1.0,11.0
2016-08-30,HANZA,11.42,-1.0,12.0
