Date,Close,High,Low,Open,Volume
2010-04-01,1.35,1.35,1.35,1.35,0.0
2010-04-22,1.35,1.35,1.35,1.35,0.0
2010-05-24,1.35,1.35,1.35,1.35,0.0
2010-06-17,1.35,1.35,1.35,1.35,0.0
2011-01-05,1.35,1.35,1.35,1.35,0.0
2011-02-16,3.44,3.57,2.87,2.87,2900.0
2011-02-17,3.41,3.41,3.41,3.41,20000.0
2011-02-18,2.86,3.06,2.86,3.06,28300.0
2011-02-21,2.86,3.56,2.55,3.56,1800.0
2011-02-22,2.86,2.86,2.39,2.7,5050.0
2011-02-25,2.94,2.94,2.78,2.86,32570.0
2011-02-28,2.66,2.78,2.54,2.54,8000.0
2011-03-01,3.02,3.02,2.38,2.38,700.0
2011-03-03,2.94,3.09,2.94,3.09,400.0
2011-03-04,3.09,3.09,3.09,3.09,100.0
2011-03-09,2.86,2.86,2.86,2.86,2000.0
2011-03-11,3.05,3.05,3.05,3.05,100.0
2011-03-30,2.94,2.98,2.94,2.98,320.0
2011-03-31,2.92,2.92,2.78,2.78,4400.0
2011-04-05,2.75,2.75,2.75,2.75,2100.0
2011-04-06,2.87,2.9,2.87,2.9,400.0
2011-04-08,2.7,2.78,2.7,2.78,3800.0
2011-04-11,2.7,3.16,2.7,2.7,14200.0
2011-04-12,3.33,3.33,2.86,2.86,120.0
2011-04-13,3.29,3.29,2.98,2.98,288.0
2011-04-14,2.62,3.49,2.62,3.49,5100.0
2011-04-15,2.62,2.62,2.62,2.62,200.0
2011-04-18,3.25,3.25,3.25,3.25,100.0
2011-04-19,3.18,3.18,3.18,3.18,200.0
2011-04-21,3.18,3.18,3.18,3.18,0.0
2011-04-26,3.09,3.31,2.02,2.92,4100.0
2011-04-27,2.85,2.85,2.85,2.85,100.0
2011-04-29,2.86,2.86,2.82,2.85,7861.0
2011-05-02,2.78,2.94,2.78,2.86,4500.0
2011-05-03,2.66,2.94,2.66,2.94,3900.0
2011-05-04,3.29,3.32,3.29,3.32,11051.0
2011-05-06,3.19,3.19,2.9,2.9,1801.0
2011-05-09,2.86,2.86,2.86,2.86,9100.0
2011-05-11,3.44,3.44,3.05,3.05,3500.0
2011-05-13,2.78,3.01,2.78,3.01,4000.0
2011-05-17,3.13,3.13,3.13,3.13,100.0
2011-05-18,2.73,2.84,2.73,2.84,7817.0
2011-05-19,2.68,3.0,2.68,3.0,15100.0
2011-05-23,2.92,2.92,2.92,2.92,100.0
2011-05-24,2.67,2.67,2.67,2.67,3000.0
2011-05-26,2.55,2.67,2.34,2.67,22012.0
2011-05-27,2.67,2.67,2.67,2.67,100.0
2011-05-30,2.51,2.51,2.51,2.51,6000.0
2011-06-01,2.47,2.67,2.47,2.67,1400.0
2011-06-03,2.76,2.76,2.59,2.59,106.0
2011-06-07,2.81,2.82,2.81,2.82,5350.0
2011-06-08,2.8,2.8,2.8,2.8,1000.0
2011-06-09,2.51,2.51,2.51,2.51,10000.0
2011-06-10,2.76,2.76,2.76,2.76,100.0
2011-06-15,2.42,2.51,2.42,2.51,11200.0
2011-06-16,2.76,2.76,2.76,2.76,100.0
2011-06-17,2.76,2.76,2.42,2.42,800.0
2011-06-21,2.51,2.51,2.51,2.51,1700.0
2011-06-22,2.5,2.51,2.42,2.42,1150.0
2011-06-27,2.16,2.41,1.75,2.34,91970.0
2011-06-28,2.15,2.15,1.75,2.15,6000.0
2011-06-29,2.26,2.26,2.13,2.13,1500.0
2011-06-30,2.26,2.26,2.26,2.26,3900.0
2011-07-01,2.42,2.42,2.42,2.42,125.0
2011-07-05,2.45,2.45,2.45,2.45,110.0
2011-07-06,2.13,2.44,2.13,2.44,11000.0
2011-07-07,2.21,2.21,2.13,2.13,16500.0
2011-07-08,2.34,2.34,2.34,2.34,100.0
2011-07-18,2.3,2.3,2.09,2.09,3210.0
2011-07-19,2.09,2.09,2.09,2.09,4245.0
2011-07-28,2.0,2.0,2.0,2.0,4500.0
2011-07-29,2.17,2.17,2.17,2.17,90.0
2011-08-04,1.88,1.9,1.88,1.9,10500.0
2011-08-05,1.84,1.84,1.66,1.67,35050.0
2011-08-08,1.63,1.67,1.63,1.67,30500.0
2011-08-09,1.67,1.67,1.42,1.42,42365.0
2011-08-10,2.0,2.0,1.67,1.67,3000.0
2011-08-16,1.68,1.68,1.68,1.68,400.0
2011-08-17,1.71,2.0,1.71,1.71,16634.0
2011-08-19,1.75,1.84,1.67,1.84,52900.0
2011-08-22,1.67,1.71,1.67,1.71,75520.0
2011-08-23,1.96,2.0,1.96,2.0,2300.0
2011-08-25,1.84,2.09,1.84,2.09,1100.0
2011-08-26,1.92,1.92,1.8,1.84,13100.0
2011-08-29,1.72,2.51,1.72,2.51,5700.0
2011-09-01,2.0,2.34,2.0,2.34,1100.0
2011-09-02,2.05,2.05,1.84,1.84,300.0
2011-09-05,1.8,1.89,1.8,1.89,16200.0
2011-09-06,1.75,1.8,1.75,1.8,3500.0
2011-09-07,1.73,1.75,1.73,1.75,34114.0
2011-09-08,1.86,1.88,1.86,1.88,61286.0
2011-09-12,1.86,1.86,1.67,1.7,48801.0
2011-09-13,1.86,1.86,1.67,1.7,48801.0
2011-09-14,1.9,1.9,1.9,1.9,100.0
2011-09-15,1.94,2.03,1.9,1.9,9615.0
2011-09-19,2.09,2.25,2.09,2.21,22300.0
2011-09-20,1.99,2.0,1.99,2.0,20801.0
2011-09-21,1.99,1.99,1.99,1.99,5000.0
2011-09-22,2.14,2.14,1.88,1.88,3175.0
2011-09-23,2.21,2.21,1.93,1.93,26139.0
2011-09-28,2.18,2.18,1.93,2.0,26330.0
2011-09-29,1.98,1.98,1.98,1.98,1000.0
2011-09-30,2.09,2.16,1.97,1.97,9500.0
2011-10-05,2.06,2.06,2.05,2.06,9000.0
2011-10-10,2.06,2.06,2.06,2.06,184.0
2011-10-11,2.0,2.0,2.0,2.0,4700.0
2011-10-17,2.12,2.12,2.0,2.0,19675.0
2011-10-25,2.61,2.61,2.13,2.13,30000.0
2011-10-26,2.12,2.12,1.93,1.93,2225.0
2011-10-28,2.33,2.33,2.33,2.33,100.0
2011-10-31,2.33,2.33,2.33,2.33,1000.0
2011-11-01,2.09,2.09,1.96,1.96,5400.0
2011-11-03,2.49,2.49,2.08,2.08,28225.0
2011-11-04,2.49,2.49,2.49,2.49,0.0
2011-11-08,2.34,2.34,2.34,2.34,2000.0
2011-11-10,2.34,2.34,2.34,2.34,500.0
