Date,Close,High,Low,Open,Volume
2015-11-20,31.7,34.0,21.4,21.4,52087.0
2015-11-23,37.0,40.0,32.0,32.0,38061.0
2015-11-24,38.0,41.5,37.6,38.1,11852.0
2015-11-25,34.4,38.4,32.6,38.4,16705.0
2015-11-26,38.0,38.4,34.0,34.4,13373.0
2015-11-27,38.0,38.0,37.0,38.0,4789.0
2015-11-30,35.5,37.0,35.0,37.0,3860.0
2015-12-01,34.2,37.5,34.2,37.5,2966.0
2015-12-02,32.9,34.0,32.8,33.0,5526.0
2015-12-03,30.5,32.5,30.5,32.5,1917.0
2015-12-04,29.9,30.0,29.0,30.0,3469.0
2015-12-07,31.0,31.4,29.0,29.5,6426.0
2015-12-08,30.3,37.4,30.3,33.0,4306.0
2015-12-09,30.1,30.3,30.1,30.3,127.0
2015-12-10,33.7,34.2,29.1,29.1,3648.0
2015-12-11,33.0,33.0,29.6,32.9,9542.0
2015-12-14,29.9,31.0,29.7,29.7,1420.0
2015-12-15,31.5,33.5,28.7,33.5,1790.0
2015-12-16,29.9,32.0,29.9,30.0,215.0
2015-12-17,28.8,29.8,28.8,28.9,1112.0
2015-12-18,28.8,28.8,28.8,28.8,8596.0
2015-12-21,28.8,28.8,28.8,28.8,226.0
2015-12-22,29.2,29.2,26.0,28.0,7391.0
2015-12-23,29.2,29.2,29.2,29.2,0.0
2015-12-28,28.0,29.2,27.9,29.2,1016.0
2015-12-29,26.2,27.3,25.0,27.3,3750.0
2015-12-30,26.2,27.0,25.5,25.5,4334.0
2016-01-04,23.3,25.1,21.5,25.1,6562.0
2016-01-05,22.0,22.9,22.0,22.9,4218.0
2016-01-07,22.0,22.9,22.0,22.9,4218.0
2016-01-08,22.3,23.1,21.1,21.2,2375.0
2016-01-11,25.5,26.7,23.0,23.0,3450.0
2016-01-12,28.0,30.1,26.1,26.7,10368.0
2016-01-13,27.4,28.0,27.4,28.0,5125.0
2016-01-14,27.4,27.5,27.4,27.5,1000.0
2016-01-15,25.5,27.5,25.5,27.4,3959.0
2016-01-18,22.6,24.8,22.6,24.8,302.0
2016-01-19,23.5,23.5,22.7,22.7,1100.0
2016-01-20,23.1,23.1,23.0,23.0,3314.0
2016-01-21,22.0,23.7,20.0,23.7,4286.0
2016-01-22,22.1,22.2,22.0,22.0,1042.0
2016-01-25,22.3,22.3,22.3,22.3,71.0
2016-01-26,22.3,22.3,22.3,22.3,0.0
2016-01-27,22.5,22.5,22.5,22.5,692.0
2016-01-28,22.5,22.5,22.5,22.5,0.0
2016-01-29,22.8,22.8,22.8,22.8,658.0
2016-02-01,22.1,23.4,21.8,23.4,1802.0
