Ticker symbol
VOLV.B
ERIC.B
HM.B
SKA.B
ELUX.B
ESSITY.A
ICA
ATCO.A
SAND
SECU.B
TELIA
SKF.B
ASSA.B
SSAB.A
NCC.B
BOL
PEAB.B
AXFO
SEB.A
SWED.A
SHB.A
SAS
INVE.B
ALFA
HUSQ.B
HEXA.B
EPI.A
MIC.SDB
TREL.B
SAAB.B
TEL2.B
BILI.A
AAK
GETI.B
BILL
LUPE
RATO.B
NIBE.B
LUND.B
SCA.B
MTG.B
BRAV
LOOM.B
SWEC.B
DOM
SHOT
HOLM.B
INDT
JM
BONAV.A
AF.B
INTRUM
HPOL.B
ATT
NOBI
BEIJ.B
SWMA
GRNG
EKTA.B
ELTEL
LIFCO.B
LATO.B
EWRK
ELAN.B
ACAD
KIND.SDB
DUST
ADDT.B
NOBINA
COOR
LIAB
SOBI
SCST
CLAS.B
ARJO.B
NOLA.B
MEKO
SYSR
MTRS
MCOV.B
HUM
INWI
BALD.B
RECI.B
SRNKE.B
THULE
NEWA.B
CLA.B
AMBEA
GUNN
VOLO
ITAB.B
FOI.B
MMGR.B
FAG
THQN.B
CAST
BETS.B
PNDX.B
HLDX
BMAX
BHG
DUNI
BEGR
AQ
KAHL
INSTAL
BEIA.B
ALIG
EQT
CLX
LAGR.B
BERG.B
MYCR
BUFAB
NMAN
VBG.B
HEMF
RESURS
LEO
QLRO
PACT
SWOL.B
KLOV.A
FNM
BULTEN
OEM.B
KNOW
BRG.B
HANDI
ANOD.B
DURC.B
MSON.B
VSSAB.B
BOOZT
KABE.B
NWG
WIHL
HOFI
ATRLJ.B
ALM
FABG
EVO
OPUS
SKIS.B
ALIF.B
COIC
KLED
REJL.B
ENG
COLL
RROS
DIST
RNBS
BONG
CAT.B
CCC
XANO.B
POOL.B
WALL.B
DORO
OP
HUFV.A
ELEC
HIQ
SEMC
HANZA
DIOS
DCAR.B
NET.B
CONS.B
MQ
SBB.B
BYGGP
TROAX
SDIP.PREF
NCAB
PROF.B
KARO
HTRO
BTS.B
ADAPT
FING.B
STORY.B
FPAR
G5EN
MIDW.B
BELE
TETY
ENRO
NOTE
HMS
EOLU.B
SF
SECT.B
TOBII
BESQ
PENG.B
PRIC.B
GREEN
TRAD
VITR
PDX
FMM.B
GHP
STRAX
TRANS
MOMENT
AGES.B
CATE
CTM
NYF
BALCO
MAG
CCOR.B
ASPIRE
AZA
PLAZ.B
ATVEXA.B
VIT.B
GHUS.B
ATIC
LAMM.B
CORE.A
SPOR
LYKO.A
WISE
GLOBAL
BIOT
GARO
VRG.B
NP3
ENEA
JETPAK
ATRE
DEDI
ORX
KAMBI
PREV.B
FOOT.B
MCAP
INISS.B
BIOG.B
SVIK
SOF.B
NIL.B
B3IT
BIOA.B
BORG
KAR
INFREA
FEEL
ITAL.SDB
UTG
SSM
ABSO
ELOS.B
TFBANK
RAY.B
NGS
SVED.B
CBTT.B
MEAB.B
PROB
BRE2
ZZ.B
ALCA
STEF.B
OBOYA.B
CAG
BURE
NETI.B
COGS
MOB
BOUL
AJA.B
LIVI
BETCO
FPIP
ZETA
SJR.B
NNH
DRIL
IAR.B
SEAB.B
HEBA.B
SENS
CINN
CEVI
IVSO
STAR.B
TRIAN.B
ODD
ARISE
MAHA A
DEVP.B
CTT
ALLG.B
ICTA
CIBUS
NLAB
LAUR
SBOK
TEQ
MSAB.B
NTEK.B
AMAST
CAPAC
LEX
RAIL
ADDV.A
CLEM
EMPIR.B
AGRO
RAKE
AVEN
BRIN.B
NEPA
LIME
FIRE
MAXK
EDGE
PRCO.B
HEGR
MIDS
TSEC
JOMA
SAXG
MAGI
NFAB
OVZON
GPG.PREF
NILS
NETG
TAGM.B
ADDERA
MIPS
CRAD.B
TCC
ALELIO
XVIVO
PCOM.B
AYIMA.B
ACM
SKMO
MNTC
IS
BACTI.B
PENCON
AUR
GOMX
KAKEL
MULQ
AWRD
MANG
STIL
ONG
JLT
STWK
ARCOMA
BIM
ANOT
XBRANE
SECS
K2A.B
CLAV
ABFAST
MAXF
NEXAM
ME
ENDO
CONF
DELARK
HUBR.B
SECARE
BONEX
JAYS
HOVD
DOME
SDS
SINT
SIVE
MACK.B
AAC
PCELL
SAPIAB
SLITE
ORGC
FLEXM
VERI
TOAD
POLYG
PREC
VERT.B
FLEXQ
KAPIAB
WINT
SUS
CLIME.B
SOLNA
SPEQT
GENI
ADVE
SEDANA
PAX
DIAH
UPSALE
TRENT
PRIME
SAVOS
SANION
SOLT
ENZY
TOURN
SEYE
ORTI.B
TORSAB
EAST
SEAF
SECI
CLNK.B
CAMX
SDOS
KENH
HELIO
BINV
CIMCO
LOG
BONAS
WESC
IVACC
ZUTEC
GENO
DIGN
DOXA
HOYLU
NJOB
MVIR.B
